Name	URL	Twitter	JLP-Nominierung	JLP	KIMI-Siegel
360 Grad	https://www.360grad-verlag.de/	?	nein	nein	ja
Aladin	https://www.thienemann-esslinger.de/unsere-verlage/aladin-verlag	?	ja 	ja 	nein
Alibri	https://www.alibri-buecher.de/	?	nein	nein	ja
Aracari	https://www.aracari.ch	https://twitter.com/aracariverlag	ja 	ja 	?
Arctis	https://www.w1-media.de/produkte?verlag=arctis	?	ja 	nein	nein
Arena	https://www.arena-verlag.de/	https://twitter.com/ArenaVerlag	ja	ja	nein
Arisverlag	https://www.arisverlag.ch/	?	nein	nein	ja
arsedition	https://www.arsedition.de	https://twitter.com/arsedition	ja	ja	nein
Astrolab	https://www.muslimelesen.de/produkt-schlagwort/astrolab-verlag/	?	nein	nein	ja
Atlantis	https://www.atlantisverlag.ch/	?	ja	ja	nein
Atrium	https://www.w1-media.de/produkte?verlag=atrium	?	nein	nein	nein
Auer (Carl)	https://www.carl-auer.de/programm/carl-auer-kids	?	nein	nein	ja
Aufbau	https://www.aufbau-verlage.de/	?	ja	nein	nein
Autismusverlag	https://eu.autismusverlag.ch/	?	nein	nein	ja
avant	https://www.avant-verlag.de/	?	ja	ja	nein
Baeschlin	https://baeschlinverlag.lesestoff.ch/de/home	?	nein	nein	ja
Baobab Books	https://www.baobabbooks.ch/de/aktuell/	?	ja	ja	nein
Beck (C.H.)	https://www.chbeck.de/	?	ja	nein	nein
Beltz & Gelberg	https://www.beltz.de/kinder_jugendbuch.html	https://twitter.com/Beltz_Gelberg	ja	ja	nein
Benson (Maria)	http://mariabenson-verlag.de/	?	nein	nein	ja
Bertelsmann (C.)	https://www.penguinrandomhouse.de/Verlag/C-Bertelsmann/3000.rhd	?	ja	ja	nein
bvk	https://www.buchverlagkempen.de		nein	nein	nein
Bohem	https://www.bohem.ch/	?	ja	ja	nein
Carlsen 	https://www.carlsen.de	https://twitter.com/carlsen_verlag	ja	ja	nein
cbj	https://www.penguinrandomhouse.de/Kinder-und-Jugendbuchverlage-cbj-&-cbt/aid77972.rhd	https://twitter.com/cbjVerlag	ja	ja	nein
coppenrath	https://www.coppenrath.de/kinder/buecher/gross-werden-mit-coppenrath		ja	ja	nein
cross cult	https://www.cross-cult.de/home.html	?	ja	nein	nein
Deutsche Pappebuch-Gesellschaft	https://dpg-verlag.de/	?	nein	nein	ja
Diaphanes	https://www.diaphanes.net/	?	ja	nein	nein
Diogenes Kids	https://www.diogenes-kids.de/	?	ja	ja	nein
Dorling Kindersley	https://www.dorlingkindersley.de/	?	ja	nein	nein
dtv junior	https://www.dtv.de/verlag/dtv-junior/c-44 		ja	ja	nein
dtv Hanser	https://www.dtv.de/verlag/reihe-hanser/c-45		ja	ja	nein
DuMont	https://www.dumont-buchverlag.de/	?	ja	nein	nein
Edel Kids Books	https://www.edelkidsbooks.de		nein	nein	nein
Edition Assamblage	https://www.edition-assemblage.de/	?	nein	nein	ja
Edition bi:libri	https://www.edition-bilibri.com		nein	nein	nein
Edition Bracklo	https://edition-bracklo.de/wordpress_neu/?product_cat=novitaeten	?	nein	nein	ja
Edition Nilpferd	https://www.ggverlag.at/produkt-kategorie/nilpferd/	?	nein	nein	nein
